path,name,utc_ctime_estimate,utc_modified_time_estimate,utc_accessed_time_estimate,megabytes,extension,type
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_180749.jpg,20220313_180749.jpg,2024-12-13 02:07:07.108350754+00:00,2022-03-13 22:07:50+00:00,2024-12-14 08:58:32.429880857+00:00,1.735871,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_185221.jpg,20220313_185221.jpg,2024-12-13 02:07:07.120972872+00:00,2022-03-13 22:52:22+00:00,2024-12-14 08:58:30.576959610+00:00,2.22434,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_185243.jpg,20220313_185243.jpg,2024-12-13 02:07:07.139796972+00:00,2022-03-13 22:52:45+00:00,2024-12-14 08:58:30.531706095+00:00,1.758686,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_212812.jpg,20220313_212812.jpg,2024-12-13 02:07:07.151341200+00:00,2022-03-14 01:28:14+00:00,2024-12-14 08:58:27.130750418+00:00,2.156573,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_212817.jpg,20220313_212817.jpg,2024-12-13 02:07:07.165079594+00:00,2022-03-14 01:28:18+00:00,2024-12-14 08:58:27.186272383+00:00,2.275206,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_214722.jpg,20220313_214722.jpg,2024-12-13 02:07:07.175624847+00:00,2022-03-14 01:47:23+00:00,2024-12-14 08:58:26.252221584+00:00,1.922717,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_090853.jpg,20220314_090853.jpg,2024-12-13 02:07:07.198856831+00:00,2022-03-14 13:08:55+00:00,2024-12-14 08:58:17.122764587+00:00,2.559383,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_090856.jpg,20220314_090856.jpg,2024-12-13 02:07:07.214343548+00:00,2022-03-14 13:08:59+00:00,2024-12-14 08:58:17.173753262+00:00,2.650162,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_120515.jpg,20220314_120515.jpg,2024-12-13 02:07:07.241683483+00:00,2022-03-14 16:05:42+00:00,2024-12-14 08:57:55.627328396+00:00,3.419672,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_122716.jpg,20220314_122716.jpg,2024-12-13 02:07:07.253981589+00:00,2022-03-14 16:27:17+00:00,2024-12-14 08:57:54.296198606+00:00,1.994085,jpg,pic
